x,y,u,v,p
0.00070413,7.9001e-05,-1.3311e-06,1.1033e-06,-0.00062368
0.00072811,8.1691e-05,-1.7513e-06,1.2705e-06,-0.00062466
0.00075482,8.4688e-05,-2.274e-06,1.4739e-06,-0.00062572
0.00078457,8.8026e-05,-2.9294e-06,1.7215e-06,-0.0006269
0.00081772,9.1745e-05,-3.7594e-06,2.0229e-06,-0.00062822
0.00085464,9.5888e-05,-4.8184e-06,2.3883e-06,-0.00062973
0.00089577,0.0001005,-6.1698e-06,2.8252e-06,-0.00063145
0.00094159,0.00010564,-7.8732e-06,3.3312e-06,-0.00063339
0.00099263,0.00011137,-9.9562e-06,3.8834e-06,-0.00063552
0.0010495,0.00011775,-1.2364e-05,4.4255e-06,-0.00063771
0.0011128,0.00012486,-1.4893e-05,4.858e-06,-0.00063971
0.0011834,0.00013277,-1.7142e-05,5.0326e-06,-0.00064114
0.001262,0.00014159,-1.84e-05,4.7464e-06,-0.00064148
0.0013495,0.00015141,-1.7578e-05,3.7601e-06,-0.00064009
0.0014471,0.00016236,-1.3296e-05,1.8329e-06,-0.00063626
0.0015557,0.00017455,-3.9208e-06,-1.2497e-06,-0.00062938
0.0016768,0.00018813,1.2331e-05,-5.6431e-06,-0.00061897
0.0018116,0.00020326,3.7261e-05,-1.1407e-05,-0.00060471
0.0019618,0.00022011,7.2539e-05,-1.8515e-05,-0.00058657
0.0021291,0.00023888,0.00011965,-2.6874e-05,-0.00056474
0.0023155,0.00025979,0.00017957,-3.6345e-05,-0.00053967
0.0025232,0.00028309,0.00025335,-4.6729e-05,-0.00051178
0.0027545,0.00030904,0.00034039,-5.7801e-05,-0.00048197
0.0030121,0.00033795,0.00044314,-6.9524e-05,-0.00045016
0.0032991,0.00037015,0.00055527,-8.1016e-05,-0.00041848
0.0036189,0.00040603,0.00069026,-9.3941e-05,-0.00038411
0.0039751,0.00044599,0.00082556,-0.00010258,-0.00035285
0.00049504,7.0229e-05,0.0,0.0,-0.00061933
0.0004954,7.028e-05,-1.35e-10,8.5678e-10,-0.00061934
0.00049579,7.0336e-05,-1.7524e-10,1.2454e-09,-0.00061936
0.00049623,7.0398e-05,-2.1054e-10,1.5453e-09,-0.00061938
0.00049672,7.0468e-05,-2.5635e-10,1.9162e-09,-0.0006194
0.00049727,7.0545e-05,-3.1427e-10,2.3758e-09,-0.00061942
0.00049788,7.0632e-05,-3.85e-10,2.9455e-09,-0.00061945
0.00049856,7.0728e-05,-4.7123e-10,3.6512e-09,-0.00061947
0.00049931,7.0835e-05,-5.7636e-10,4.5253e-09,-0.00061951
0.00050015,7.0955e-05,-7.0433e-10,5.6075e-09,-0.00061954
0.00050109,7.1088e-05,-8.5976e-10,6.9469e-09,-0.00061958
0.00050214,7.1236e-05,-1.0481e-09,8.6039e-09,-0.00061962
0.0005033,7.1401e-05,-1.2756e-09,1.0653e-08,-0.00061967
0.0005046,7.1585e-05,-1.5498e-09,1.3184e-08,-0.00061973
0.00050604,7.1789e-05,-1.879e-09,1.631e-08,-0.00061979
0.00050765,7.2018e-05,-2.2731e-09,2.0165e-08,-0.00061986
0.00050944,7.2272e-05,-2.7428e-09,2.4917e-08,-0.00061993
0.00051143,7.2555e-05,-3.3005e-09,3.0765e-08,-0.00062001
0.00051366,7.287e-05,-3.9596e-09,3.7952e-08,-0.0006201
0.00051613,7.3221e-05,-4.7353e-09,4.6768e-08,-0.00062021
0.00051889,7.3613e-05,-5.644e-09,5.756e-08,-0.00062032
0.00052196,7.4049e-05,-6.7049e-09,7.0737e-08,-0.00062045
0.00052539,7.4534e-05,-7.9411e-09,8.6777e-08,-0.00062059
0.0005292,7.5075e-05,-9.3838e-09,1.0623e-07,-0.00062074
0.00053345,7.5678e-05,-1.1081e-08,1.297e-07,-0.00062092
0.00053818,7.6349e-05,-1.3122e-08,1.5786e-07,-0.00062111
0.00054345,7.7097e-05,-1.5683e-08,1.9138e-07,-0.00062132
0.00054933,7.793e-05,-1.9108e-08,2.3097e-07,-0.00062155
